Experiment id: 10C_pretrain_commutative_cnn_20260704_141703
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260704_141700_197670/outputs/10C/runs/10C_pretrain_commutative_cnn_20260704_141703
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260704_141700_197670/outputs/10C/runs/10C_pretrain_commutative_cnn_20260704_141703/10C_pretrain_commutative_cnn_20260704_141703_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
082/140 3.00e-05   9:31:40 |   0.7351   0.7351   0.8335   4.1589   0.1860 |   1.6433   1.6433   2.5257   4.1589   0.1939
083/140 3.00e-05   9:21:30 |   0.5754   0.5754   1.0978   4.1589   0.1879 |   1.5264   1.5264   2.7217   4.1589   0.1954
084/140 3.00e-05   9:11:25 |   0.5980   0.5980   1.0933   4.1589   0.1864 |   1.4464   1.4464   2.8718   4.1589   0.1961
085/140 3.00e-05   9:01:18 |   0.6497   0.6497   1.0257   4.1589   0.1875 |   1.3801   1.3801   2.9680   4.1589   0.1956
086/140 3.00e-05   8:51:18 |   0.4656   0.4656   1.4351   4.1589   0.1878 |   1.3333   1.3333   3.0499   4.1589   0.1946
087/140 3.00e-05   8:41:14 |   0.6366   0.6366   0.9816   4.1589   0.1820 |   1.2583   1.2583   3.1521   4.1589   0.1930
088/140 3.00e-05   8:31:14 |   0.5764   0.5764   1.1497   4.1589   0.1810 |   1.1980   1.1980   3.2583   4.1589   0.1941
089/140 3.00e-05   8:21:13 |   0.5463   0.5463   1.1942   4.1589   0.1802 |   1.1198   1.1198   3.4372   4.1589   0.1921
090/140 3.00e-05   8:11:15 |   0.4235   0.4235   1.3153   4.1589   0.1849 |   1.0525   1.0525   3.5956   4.1589   0.1962
091/140 3.00e-05   8:01:14 |   0.4605   0.4605   1.4169   4.1589   0.1838 |   1.0153   1.0153   3.6730   4.1589   0.1967
092/140 3.00e-05   7:51:15 |   0.4957   0.4957   1.4215   4.1589   0.1804 |   0.9671   0.9671   3.7129   4.1589   0.1923
093/140 3.00e-05   7:41:11 |   0.4786   0.4786   1.4734   4.1589   0.1806 |   0.9119   0.9119   3.8204   4.1589   0.1910
094/140 3.00e-05   7:31:12 |   0.3872   0.3872   1.3907   4.1589   0.1777 |   0.8663   0.8663   3.9431   4.1589   0.1965
095/140 3.00e-05   7:21:12 |   0.4585   0.4585   1.2836   4.1589   0.1780 |   0.7972   0.7972   4.1888   4.1589   0.1942
096/140 3.00e-05   7:11:16 |   0.3923   0.3923   1.3566   4.1589   0.1756 |   0.7598   0.7598   4.2256   4.1589   0.1899
097/140 3.00e-05   7:01:19 |   0.3258   0.3258   1.5920   4.1589   0.1755 |   0.6944   0.6944   4.4860   4.1589   0.1929
098/140 3.00e-05   6:51:23 |   0.2721   0.2721   1.8973   4.1589   0.1787 |   0.6654   0.6654   4.4900   4.1589   0.1915
099/140 3.00e-05   6:41:24 |   0.2578   0.2578   1.8217   4.1589   0.1747 |   0.6350   0.6350   4.5857   4.1589   0.1920
100/140 3.00e-05   6:31:30 |   0.2858   0.2858   1.9188   4.1589   0.1777 |   0.5950   0.5950   4.6276   4.1589   0.1923
101/140 3.00e-05   6:21:34 |   0.4110   0.4110   1.4524   4.1589   0.1716 |   0.5582   0.5582   4.6992   4.1589   0.1917
102/140 3.00e-05   6:11:41 |   0.3467   0.3467   1.3745   4.1589   0.1698 |   0.5155   0.5155   5.0435   4.1589   0.1937
103/140 3.00e-05   6:01:46 |   0.2230   0.2230   1.9401   4.1589   0.1753 |   0.4835   0.4835   5.1345   4.1589   0.1932
104/140 3.00e-05   5:51:53 |   0.2497   0.2497   1.8215   4.1589   0.1675 |   0.4514   0.4514   5.2525   4.1589   0.1911
105/140 3.00e-05   5:41:59 |   0.3443   0.3443   2.0363   4.1589   0.1745 |   0.4365   0.4365   4.9636   4.1589   0.1879
106/140 3.00e-05   5:32:08 |   0.1771   0.1771   2.3086   4.1589   0.1738 |   0.4242   0.4242   5.0408   4.1589   0.1877
107/140 3.00e-05   5:22:16 |   0.3342   0.3342   1.5416   4.1589   0.1691 |   0.3713   0.3713   5.4203   4.1589   0.1927
108/140 3.00e-05   5:12:27 |   0.2740   0.2740   1.9463   4.1589   0.1723 |   0.3626   0.3626   5.3141   4.1589   0.1887
109/140 3.00e-05   5:02:35 |   0.2375   0.2375   1.8732   4.1589   0.1735 |   0.3268   0.3268   5.5665   4.1589   0.1920
110/140 3.00e-05   4:52:47 |   0.2589   0.2589   1.8395   4.1589   0.1716 |   0.3010   0.3010   5.6999   4.1589   0.1918
111/140 3.00e-05   4:42:57 |   0.1937   0.1937   2.3933   4.1589   0.1700 |   0.3002   0.3002   5.7182   4.1589   0.1910
112/140 3.00e-05   4:33:08 |   0.2356   0.2356   1.9088   4.1589   0.1673 |   0.2775   0.2775   5.8003   4.1589   0.1898
