Experiment id: 10C_pretrain_commutative_cnn_20260703_031245
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/10C/runs/10C_pretrain_commutative_cnn_20260703_031245
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/10C/runs/10C_pretrain_commutative_cnn_20260703_031245/10C_pretrain_commutative_cnn_20260703_031245_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
128/140 3.00e-05   2:12:47 |   0.2207   0.2207   1.8037   4.1589   0.2340 |   0.1704   0.1704   6.0533   4.1589   0.2700
129/140 3.00e-05   2:01:40 |   0.1985   0.1985   3.1131   4.1589   0.2399 |   0.1930   0.1930   5.6988   4.1589   0.2680
130/140 3.00e-05   1:50:35 |   0.3309   0.3309   1.9115   4.1589   0.2376 |   0.2115   0.2115   5.5435   4.1589   0.2651
131/140 3.00e-05   1:39:29 |   0.2077   0.2077   1.7870   4.1589   0.2357 |   0.1681   0.1681   5.8978   4.1589   0.2627
132/140 3.00e-05   1:28:25 |   0.1988   0.1988   2.4681   4.1589   0.2291 |   0.1750   0.1750   5.8200   4.1589   0.2649
133/140 3.00e-05   1:17:19 |   0.1849   0.1849   1.9656   4.1589   0.2332 |   0.1536   0.1536   5.9899   4.1589   0.2659
134/140 3.00e-05   1:06:15 |   0.1712   0.1712   2.9343   4.1589   0.2294 |   0.1702   0.1702   5.7437   4.1589   0.2670
135/140 3.00e-05     55:11 |   0.2101   0.2101   1.9544   4.1589   0.2362 |   0.1484   0.1484   5.9857   4.1589   0.2645
136/140 3.00e-05     44:08 |   0.2720   0.2720   2.4828   4.1589   0.2326 |   0.1473   0.1473   5.9814   4.1589   0.2663
137/140 3.00e-05     33:05 |   0.1996   0.1996   2.5985   4.1589   0.2322 |   0.1560   0.1560   5.8489   4.1589   0.2660
138/140 3.00e-05     22:03 |   0.1621   0.1621   2.7051   4.1589   0.2401 |   0.1956   0.1956   5.4079   4.1589   0.2551
139/140 3.00e-05     11:01 |   0.1833   0.1833   2.1447   4.1589   0.2298 |   0.2504   0.2504   5.1727   4.1589   0.2563
140/140 1.50e-05     00:00 |   0.1890   0.1890   2.2472   4.1589   0.2320 |   0.1700   0.1700   5.6067   4.1589   0.2599
Updated latest commutative CNN pretraining config at /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/10C/config.yaml
10C run complete: artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/10C/runs/10C_pretrain_commutative_cnn_20260703_031245
