compound,compound_class,mechanism_of_action,image_run_dir,image_run_dir_relative,source_batch,dir_name,folder_status
Pilocarpine,Muscarinic agonists,mAChR agonism (non selective),/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019,FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019,FOURTH BATCH 2018,Pilocarpine ReRun 2 12 Feb 2019,active
Pilocarpine,Muscarinic agonists,mAChR agonism (non selective),/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019,FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019,FOURTH BATCH 2018,Pilocarpine repeat run 1 12 Feb 2019,active
Protriptyline,Tricyclic antidepressants,"NA/5-HT reuptake inhibitor,5-HT2R/a1R/DAR/H1R/mAChR antagonism",/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018,FOURTH BATCH 2018/Protriptyline Run 1 16 Oct 2018,FOURTH BATCH 2018,Protriptyline Run 1 16 Oct 2018,active
Protriptyline,Tricyclic antidepressants,"NA/5-HT reuptake inhibitor,5-HT2R/a1R/DAR/H1R/mAChR antagonism",/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018,FOURTH BATCH 2018/Protriptyline Run 2 23 Oct 2018,FOURTH BATCH 2018,Protriptyline Run 2 23 Oct 2018,active
Quinine HCl,"Mixed classes, no known link to seizures",Alkaloid antimalarial,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17,THIRD BATCH convulsants/Quinine run 1 8 june 17,THIRD BATCH convulsants,Quinine run 1 8 june 17,active
Quinine HCl,"Mixed classes, no known link to seizures",Alkaloid antimalarial,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17,THIRD BATCH convulsants/Quinine run 2 9 6 17,THIRD BATCH convulsants,Quinine run 2 9 6 17,active
Risperidone,Atypical antipsychotics,D2R/a1/2R/H1R/mAChR/5-HT2R antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018,FOURTH BATCH 2018/Risperidone Run 1 June 8 2018,FOURTH BATCH 2018,Risperidone Run 1 June 8 2018,active
Risperidone,Atypical antipsychotics,D2R/a1/2R/H1R/mAChR/5-HT2R antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018,FOURTH BATCH 2018/Risperidone Run 2 11 June 2018,FOURTH BATCH 2018,Risperidone Run 2 11 June 2018,active
Rolipram,"Mixed classes, unclear link to seizures",PDE-4 inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram Run 2 10 8 17,THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram Run 2 10 8 17,THIRD BATCH convulsants,Rolipram Run 2 10 8 17,active
Rolipram,"Mixed classes, unclear link to seizures",PDE-4 inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram run 1 3 8 17,THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram run 1 3 8 17,THIRD BATCH convulsants,Rolipram run 1 3 8 17,active
SB205607******,Opioid analgesics,δ-opioidR agonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/SB205607 Run 1 8 May 2018,FOURTH BATCH 2018/SB205607 Run 1 8 May 2018,FOURTH BATCH 2018,SB205607 Run 1 8 May 2018,active
SB205607******,Opioid analgesics,δ-opioidR agonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/SB205607 Run 2 14 May 2018,FOURTH BATCH 2018/SB205607 Run 2 14 May 2018,FOURTH BATCH 2018,SB205607 Run 2 14 May 2018,active
SNC80*****,Opioid analgesics,δ-opioidR agonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/SNC80 run 1 1 Aug 2017,THIRD BATCH convulsants/SNC80 run 1 1 Aug 2017,THIRD BATCH convulsants,SNC80 run 1 1 Aug 2017,active
SNC80*****,Opioid analgesics,δ-opioidR agonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/SNC80 run 2 4 aug 2017,THIRD BATCH convulsants/SNC80 run 2 4 aug 2017,THIRD BATCH convulsants,SNC80 run 2 4 aug 2017,active
Strychnine,Glycine antagonist,GlyR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine,FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine,FIRST BATCH convulsants,Strychnine,active
